[INFO] 18:34:39:711 gameboy/(10523:10523): Se ha realizado una conexión al proceso con: IP: 127.0.0.1, PUERTO: 6011
[INFO] 18:35:10:490 gameboy/(10535:10535): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:36:46:669 gameboy/(10615:10615): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:42:102 gameboy/(10775:10775): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:44:726 gameboy/(10787:10787): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:45:423 gameboy/(10789:10789): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:45:755 gameboy/(10791:10791): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:46:91 gameboy/(10793:10793): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:46:413 gameboy/(10795:10795): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:46:735 gameboy/(10797:10797): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:47:53 gameboy/(10799:10799): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:47:552 gameboy/(10804:10804): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:47:887 gameboy/(10808:10808): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:48:197 gameboy/(10810:10810): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:48:493 gameboy/(10812:10812): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:48:796 gameboy/(10814:10814): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:49:109 gameboy/(10816:10816): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:49:412 gameboy/(10818:10818): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
[INFO] 18:40:50:12 gameboy/(10820:10820): Se ha realizado una conexión al proceso con: IP: 127.0.0.3, PUERTO: 6013
